grantor|grantee|table_catalog|table_schema|table_name|column_name|privilege_type|is_grantable
postgres|postgres|demo|bookings|routes|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|actual_departure_local|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|city|INSERT|YES
postgres|postgres|demo|bookings|flights_v|flight_no|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts|model|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|ticket_no|SELECT|YES
postgres|postgres|demo|bookings|flights|aircraft_code|SELECT|YES
postgres|postgres|demo|bookings|routes|arrival_airport_name|UPDATE|YES
postgres|postgres|demo|bookings|flights|status|REFERENCES|YES
postgres|postgres|demo|bookings|routes|departure_airport_name|REFERENCES|YES
postgres|postgres|demo|bookings|flights|actual_arrival|UPDATE|YES
postgres|postgres|demo|bookings|airports|coordinates|REFERENCES|YES
postgres|postgres|demo|bookings|flights|flight_id|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|seat_no|UPDATE|YES
postgres|postgres|demo|bookings|tickets|passenger_id|INSERT|YES
postgres|postgres|demo|bookings|seats|fare_conditions|INSERT|YES
postgres|postgres|demo|bookings|routes|departure_airport|SELECT|YES
postgres|postgres|demo|bookings|airports_data|airport_name|SELECT|YES
postgres|postgres|demo|bookings|boarding_passes|flight_id|SELECT|YES
postgres|postgres|demo|bookings|airports|coordinates|SELECT|YES
postgres|postgres|demo|bookings|airports|airport_name|UPDATE|YES
postgres|postgres|demo|bookings|seats|fare_conditions|UPDATE|YES
postgres|postgres|demo|bookings|flights|flight_id|SELECT|YES
postgres|postgres|demo|bookings|flights_v|arrival_city|INSERT|YES
postgres|postgres|demo|bookings|flights|actual_departure|REFERENCES|YES
postgres|postgres|demo|bookings|tickets|book_ref|INSERT|YES
postgres|postgres|demo|bookings|tickets|passenger_name|REFERENCES|YES
postgres|postgres|demo|bookings|routes|days_of_week|REFERENCES|YES
postgres|postgres|demo|bookings|flights|flight_id|UPDATE|YES
postgres|postgres|demo|bookings|aircrafts|range|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts_data|model|INSERT|YES
postgres|postgres|demo|bookings|tickets|contact_data|SELECT|YES
postgres|postgres|demo|bookings|flights|actual_arrival|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|boarding_no|SELECT|YES
postgres|postgres|demo|bookings|airports_data|coordinates|REFERENCES|YES
postgres|postgres|demo|bookings|flights|scheduled_departure|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|arrival_airport_name|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure|UPDATE|YES
postgres|postgres|demo|bookings|routes|duration|UPDATE|YES
postgres|postgres|demo|bookings|airports_data|city|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|coordinates|SELECT|YES
postgres|postgres|demo|bookings|aircrafts_data|range|INSERT|YES
postgres|postgres|demo|bookings|ticket_flights|fare_conditions|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_duration|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_departure|SELECT|YES
postgres|postgres|demo|bookings|airports|timezone|SELECT|YES
postgres|postgres|demo|bookings|flights_v|departure_airport_name|UPDATE|YES
postgres|postgres|demo|bookings|airports_data|timezone|INSERT|YES
postgres|postgres|demo|bookings|routes|arrival_airport_name|SELECT|YES
postgres|postgres|demo|bookings|airports_data|airport_code|SELECT|YES
postgres|postgres|demo|bookings|flights|flight_id|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_duration|INSERT|YES
postgres|postgres|demo|bookings|aircrafts_data|range|UPDATE|YES
postgres|postgres|demo|bookings|flights|scheduled_arrival|SELECT|YES
postgres|postgres|demo|bookings|routes|flight_no|REFERENCES|YES
postgres|postgres|demo|bookings|aircrafts|aircraft_code|INSERT|YES
postgres|postgres|demo|bookings|flights_v|flight_no|UPDATE|YES
postgres|postgres|demo|bookings|routes|aircraft_code|INSERT|YES
postgres|postgres|demo|bookings|bookings|book_date|REFERENCES|YES
postgres|postgres|demo|bookings|flights|status|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|actual_duration|SELECT|YES
postgres|postgres|demo|bookings|airports|coordinates|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|actual_departure|SELECT|YES
postgres|postgres|demo|bookings|tickets|passenger_name|INSERT|YES
postgres|postgres|demo|bookings|ticket_flights|ticket_no|SELECT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival|INSERT|YES
postgres|postgres|demo|bookings|tickets|passenger_name|SELECT|YES
postgres|postgres|demo|bookings|aircrafts_data|range|REFERENCES|YES
postgres|postgres|demo|bookings|seats|aircraft_code|UPDATE|YES
postgres|postgres|demo|bookings|airports|airport_name|INSERT|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival|UPDATE|YES
postgres|postgres|demo|bookings|routes|days_of_week|UPDATE|YES
postgres|postgres|demo|bookings|boarding_passes|flight_id|UPDATE|YES
postgres|postgres|demo|bookings|bookings|book_date|UPDATE|YES
postgres|postgres|demo|bookings|airports_data|coordinates|INSERT|YES
postgres|postgres|demo|bookings|flights|scheduled_arrival|INSERT|YES
postgres|postgres|demo|bookings|tickets|contact_data|INSERT|YES
postgres|postgres|demo|bookings|tickets|ticket_no|INSERT|YES
postgres|postgres|demo|bookings|tickets|contact_data|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|status|UPDATE|YES
postgres|postgres|demo|bookings|aircrafts_data|aircraft_code|UPDATE|YES
postgres|postgres|demo|bookings|flights_v|scheduled_duration|SELECT|YES
postgres|postgres|demo|bookings|flights_v|departure_airport|INSERT|YES
postgres|postgres|demo|bookings|routes|arrival_airport|SELECT|YES
postgres|postgres|demo|bookings|routes|arrival_airport|INSERT|YES
postgres|postgres|demo|bookings|seats|fare_conditions|REFERENCES|YES
postgres|postgres|demo|bookings|airports|airport_code|REFERENCES|YES
postgres|postgres|demo|bookings|seats|aircraft_code|INSERT|YES
postgres|postgres|demo|bookings|aircrafts|range|SELECT|YES
postgres|postgres|demo|bookings|bookings|book_ref|INSERT|YES
postgres|postgres|demo|bookings|flights_v|flight_no|SELECT|YES
postgres|postgres|demo|bookings|aircrafts|range|INSERT|YES
postgres|postgres|demo|bookings|flights|arrival_airport|INSERT|YES
postgres|postgres|demo|bookings|routes|duration|INSERT|YES
postgres|postgres|demo|bookings|flights_v|aircraft_code|INSERT|YES
